,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Gardnerella_vaginalis_A.4,4,72,1367,155,947,1300,1390,1475,1671
Gardnerella_vaginalis_B,1,166,1124,100,895,1057,1116,1182,1399
Gardnerella_vaginalis_C.1,1,338,1500,145,1054,1400,1498,1598,1946
Gardnerella_vaginalis_C.2,2,129,1208,128,963,1112,1195,1274,1532
Gardnerella_vaginalis_C.3,3,120,1140,135,847,1036,1130,1234,1461
Gardnerella_vaginalis_D.1,1,64,1426,51,1292,1395,1429,1458,1544
Gardnerella_vaginalis_D.2,2,49,1401,86,1234,1350,1405,1462,1561
Gardnerella_vaginalis_D.3,3,43,1552,85,1362,1498,1564,1606,1726
Gardnerella_vaginalis_D.4,4,38,1339,69,1201,1294,1355,1394,1454
Gardnerella_vaginalis_D.5,5,35,1456,75,1306,1408,1447,1507,1641
Gardnerella_vaginalis_D.6,6,30,1146,114,895,1054,1150,1234,1331
Gardnerella_vaginalis_D.7,7,23,1265,90,1139,1210,1254,1311,1485
Gardnerella_vaginalis_D.8,8,17,1348,104,1139,1261,1356,1426,1525
Gardnerella_vaginalis_D.9,9,17,1453,138,1209,1327,1481,1575,1657
Gardnerella_vaginalis_D.10,10,17,1197,83,1084,1123,1175,1254,1341
Gardnerella_vaginalis_E.1,1,11,791,40,740,757,792,811,871
Gardnerella_vaginalis_E.2,2,19,775,36,722,748,771,793,847
Gardnerella_vaginalis_F.1,1,187,1671,283,1049,1488,1667,1796,3075
Gardnerella_vaginalis_F.2,2,96,2338,377,946,2156,2378,2599,2957
Gardnerella_vaginalis_F.3,3,36,1310,134,1075,1192,1324,1394,1558
Gardnerella_vaginalis_H.1,1,211,1663,126,1316,1576,1661,1746,2011
Gardnerella_vaginalis_H.2,2,156,1377,136,1059,1283,1380,1468,1717
Gardnerella_vaginalis_H.3,3,71,1723,149,1313,1644,1737,1806,2101
Gardnerella_vaginalis_H.4,4,28,1776,220,1392,1596,1760,1932,2231
Gemella_haemolysans.1,1,14,1661,142,1517,1566,1594,1724,1975
Gemella_haemolysans.2,2,25,2359,306,1819,2111,2397,2600,2902
Gulosibacter,1,22,1372,200,1030,1238,1380,1533,1789
KA00274_sp902373515.1,1,216,1304,41,1144,1280,1308,1327,1401
KA00274_sp902373515.2,2,98,1391,57,1200,1360,1390,1425,1536
KA00274_sp902373515.3,3,96,1287,46,1154,1259,1288,1318,1388
KA00274_sp902373515.4,4,81,1170,59,1032,1129,1176,1206,1354
KA00274_sp902373515.5,5,80,1310,49,1185,1281,1308,1338,1438
KA00274_sp902373515.6,6,68,1320,61,1212,1271,1315,1362,1469
KA00274_sp902373515.7,7,40,1274,64,1152,1224,1284,1310,1410
KA00274_sp902373515.8,8,27,1334,57,1185,1302,1336,1375,1445
KA00274_sp902373515.9,9,24,1396,48,1304,1364,1398,1434,1488
KA00274_sp902373515.10,10,16,1329,55,1202,1296,1332,1357,1435
Lactobacillus_crispatus.1,1,390,2376,204,1757,2256,2356,2487,3232
Lactobacillus_crispatus.2,2,215,2334,250,1603,2184,2326,2466,2989
Lactobacillus_crispatus.3,3,85,2488,311,1680,2237,2468,2741,3407
Lactobacillus_crispatus.4,4,69,2718,315,1870,2529,2729,2904,3317
Lactobacillus_crispatus.5,5,68,2638,171,2256,2530,2604,2724,3178
Lactobacillus_gasseri.1,1,127,1692,87,1341,1656,1697,1736,1919
Lactobacillus_gasseri.2,2,52,1672,104,1386,1600,1694,1755,1856
Lactobacillus_gasseri.3,3,47,1637,78,1465,1594,1632,1669,1805
Lactobacillus_gasseri.4,4,20,1783,123,1545,1732,1774,1850,1975
Lactobacillus_iners.1,1,1145,1290,102,933,1229,1280,1349,1855
Lactobacillus_iners.2,2,674,1411,117,979,1336,1411,1483,1851
Lactobacillus_jensenii.1,1,116,1380,57,1136,1354,1384,1412,1506
Lactobacillus_jensenii.2,2,102,1466,73,1250,1425,1478,1511,1629
Lactobacillus_jensenii.3,3,69,1459,46,1348,1440,1461,1497,1538
Lactobacillus_jensenii.4,4,54,1452,46,1289,1435,1450,1478,1548
Lactobacillus_jensenii.5,5,47,1482,109,1109,1443,1513,1558,1670
Lactobacillus_mulieris.1,1,96,1272,51,1180,1242,1266,1292,1499
Lactobacillus_mulieris.2,2,43,1299,54,1139,1272,1317,1332,1369
Lactobacillus_mulieris.3,3,40,1235,39,1138,1223,1236,1256,1323
Lactobacillus_mulieris.4,4,23,1274,36,1158,1266,1286,1295,1327
Lactobacillus_mulieris.5,5,13,1233,21,1212,1220,1224,1235,1270
Lawsonella_clevelandensis.1,1,12,1573,110,1366,1537,1584,1635,1761
Lawsonella_clevelandensis.2,2,24,1566,93,1391,1494,1564,1642,1745
Limosilactobacillus,1,37,992,73,801,945,996,1039,1155
Limosilactobacillus_coleohominis.1,1,109,1511,110,1253,1462,1520,1575,1759
Limosilactobacillus_coleohominis.2,2,28,1570,102,1329,1485,1597,1644,1718
Limosilactobacillus_coleohominis.3,3,20,1441,81,1310,1362,1446,1500,1597
Mageeibacillus_indolicus.1,1,164,1523,64,1338,1490,1527,1561,1677
Mageeibacillus_indolicus.2,2,87,1384,79,1090,1332,1391,1430,1544
Mageeibacillus_indolicus.3,3,33,1642,126,1266,1616,1646,1699,1897
Mageeibacillus_indolicus.4,4,32,1577,76,1345,1534,1572,1628,1705
Mageeibacillus_indolicus.5,5,24,1581,82,1407,1524,1596,1646,1716
Mageeibacillus_indolicus.6,6,22,1555,91,1351,1508,1562,1615,1742
Mageeibacillus_indolicus.7,7,18,1561,77,1350,1548,1584,1611,1658
Malacoplasma_girerdii.1,1,12,635,121,494,564,626,664,886
Malacoplasma_girerdii.2,2,21,784,31,704,768,780,812,827
Megasphaera_hutchinsoni.1,1,175,1253,28,1177,1238,1252,1268,1369
Megasphaera_hutchinsoni.2,2,69,1255,27,1176,1244,1257,1272,1299
Megasphaera_hutchinsoni.3,3,57,1299,32,1234,1282,1302,1324,1362
Megasphaera_hutchinsoni.4,4,22,1146,31,1081,1133,1151,1172,1189
Megasphaera_lornae.1,1,332,1409,65,1052,1388,1418,1446,1580
Megasphaera_lornae.2,2,275,1494,50,1292,1462,1493,1527,1638
Megasphaera_lornae.3,3,202,1516,74,1181,1479,1512,1551,1725
Metamycoplasma_hominis.1,1,53,566,46,438,549,568,581,673
Metamycoplasma_hominis.2,2,49,629,36,542,610,629,651,720
Metamycoplasma_hominis.3,3,48,630,47,528,597,639,664,749
Metamycoplasma_hominis.4,4,40,709,56,504,670,706,746,798
Metamycoplasma_hominis.5,5,39,619,49,523,592,622,658,711
Metamycoplasma_hominis.6,6,37,655,42,580,625,648,691,741
Metamycoplasma_hominis.7,7,23,622,51,522,592,634,658,711
Metamycoplasma_hominis.8,8,22,530,41,476,507,527,543,670
Metamycoplasma_hominis.9,9,21,639,36,552,614,642,667,713
Metamycoplasma_hominis.10,10,16,642,52,573,601,634,670,745
Mobiluncus_curtisii.1,1,161,1970,178,1494,1857,1954,2077,2380
Mobiluncus_curtisii.2,2,81,2417,596,1565,1966,2327,2733,4283
Mobiluncus_mulieris.1,1,12,2840,727,1870,1936,3144,3470,3645
Mobiluncus_mulieris.2,2,75,2264,124,1857,2194,2271,2328,2659
Mobiluncus_mulieris.3,3,44,2208,175,1775,2128,2220,2308,2548
Mobiluncus_mulieris.4,4,42,2259,131,1892,2211,2274,2354,2431
Mobiluncus_mulieris.5,5,41,2571,144,2316,2502,2564,2673,2916
Mobiluncus_mulieris.6,6,26,1962,149,1685,1832,1970,2073,2208
Mobiluncus_mulieris.7,7,23,2206,107,1900,2173,2222,2273,2356
MultiGenera,1,1813,4752,2994,738,2070,4371,6786,16735
Nakaseomyces_glabratus,1,21,4248,1714,1547,2705,4613,5587,6860
Nanoperiomorbus_sp004136275.1,1,275,1270,334,596,1043,1220,1470,2484
Nanoperiomorbus_sp004136275.2,2,70,2184,670,610,1721,2160,2644,3635
Nanoperiomorbus_sp004136275.3,3,46,1751,442,906,1401,1757,2059,2627
Olegusella_massiliensis.1,1,17,1387,75,1257,1339,1375,1446,1518
Olegusella_massiliensis.2,2,18,1479,80,1339,1419,1462,1539,1602
Oligella_urethralis,1,24,2265,171,1849,2194,2286,2377,2619
Parvimonas_sp001552895.1,1,302,1316,81,1157,1258,1308,1359,1615
Parvimonas_sp001552895.2,2,153,1314,69,1147,1269,1317,1358,1470
Parvimonas_sp001552895.3,3,113,1383,89,1131,1328,1373,1428,1615
Parvimonas_sp001552895.4,4,44,1296,55,1201,1260,1294,1338,1412
Pauljensenia_turicensis.1,1,13,1454,69,1303,1419,1456,1510,1551
Pauljensenia_turicensis.2,2,22,1625,71,1486,1570,1627,1680,1731
Peptoniphilus_harei.1,1,108,2025,293,1555,1831,1938,2166,2865
Peptoniphilus_harei.2,2,50,2360,451,1723,2064,2221,2538,3826
Porphyromonas,1,20,1788,745,836,1060,1679,2391,3007
Porphyromonas_asaccharolytica,1,64,2051,435,1199,1768,1983,2324,3067
Porphyromonas_sp001552775.1,1,42,1447,58,1330,1417,1442,1478,1566
Porphyromonas_sp001552775.2,2,31,1408,68,1273,1360,1421,1466,1506
Porphyromonas_sp001552775.3,3,22,1332,83,1222,1272,1309,1374,1527
Porphyromonas_sp001552775.4,4,16,1348,64,1254,1299,1336,1384,1485
Porphyromonas_sp001808555,1,31,1463,119,1228,1411,1459,1508,1704
Porphyromonas_uenonis.1,1,93,2331,250,1880,2146,2326,2466,3124
Porphyromonas_uenonis.2,2,72,1804,195,1381,1666,1796,1938,2272
Porphyromonas_uenonis.3,3,62,1957,209,1507,1816,1959,2095,2333
Porphyromonas_uenonis.4,4,30,1783,162,1451,1706,1780,1912,2074
Porphyromonas_uenonis.5,5,12,1807,126,1632,1702,1802,1850,2067
Prevotella,1,678,1533,486,803,1195,1446,1784,4261
