dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
7,0.8380748221962542,Lactobacillus_crispatus_2,23,3,2
13,0.7963402667037426,Lactobacillus_crispatus_3,23,3,3
12,0.8563573094226997,Lactobacillus_crispatus_4,23,3,4
10,0.8828265723617716,Lactobacillus_crispatus_5,23,3,5
2,0.6940538719934466,Lactobacillus_iners_1,23,3,6
6,0.6644644578204585,Lactobacillus_iners_2,23,3,7
14,0.7309264909778329,Lactobacillus_jensenii_1,23,3,8
8,0.39437903000638175,UBA629_sp005465875_1,23,3,9
9,0.364629754477797,UBA629_sp005465875_2,23,3,10
11,0.5306104112937444,Gardnerella_vaginalis_1,23,3,11
5,0.3148401423065462,Gardnerella_swidsinkii_1,23,3,12
3,0.4923748517774686,Lactobacillus_paragasseri,23,3,13
1,0.2371869720812749,MultiGenera,23,3,14
2,0.8866540198969887,Lactobacillus_crispatus_1,23,4,1
19,0.5362506258003945,Lactobacillus_crispatus_1,23,4,2
9,0.8380748221962542,Lactobacillus_crispatus_2,23,4,3
18,0.7963402667037426,Lactobacillus_crispatus_3,23,4,4
16,0.8563573094226997,Lactobacillus_crispatus_4,23,4,5
12,0.8828265723617716,Lactobacillus_crispatus_5,23,4,6
15,0.6560232446138963,Lactobacillus_gasseri_1,23,4,7
17,0.6534057838596563,Lactobacillus_gasseri_3,23,4,8
4,0.8378296646892298,Lactobacillus_iners_1,23,4,9
7,0.5247611256135042,Lactobacillus_iners_1,23,4,10
6,0.6644644578204585,Lactobacillus_iners_2,23,4,11
20,0.7309264909778329,Lactobacillus_jensenii_1,23,4,12
10,0.39437903000638175,UBA629_sp005465875_1,23,4,13
11,0.364629754477797,UBA629_sp005465875_2,23,4,14
14,0.5306104112937444,Gardnerella_vaginalis_1,23,4,15
1,0.2445868186510835,Gardnerella_vaginalis_C_1,23,4,16
13,0.2911636812239536,Gardnerella_swidsinkii_1,23,4,17
5,0.3220407155223862,Gardnerella_piotii_1,23,4,18
8,0.4012191745475793,Prevotella_bivia,23,4,19
21,0.5116594240256821,Lactobacillus_paragasseri,23,4,20
3,0.22927482844124877,MultiGenera,23,4,21
3,0.8866540198969887,Lactobacillus_crispatus_1,24,0,1
5,0.8380748221962542,Lactobacillus_crispatus_2,24,0,2
2,0.6940538719934466,Lactobacillus_iners_1,24,0,3
4,0.6644644578204585,Lactobacillus_iners_2,24,0,4
1,0.39453745669185686,MultiGenera,24,0,5
4,0.8866540198969887,Lactobacillus_crispatus_1,24,1,1
6,0.8380748221962542,Lactobacillus_crispatus_2,24,1,2
