dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST
26,0.7592623851065965,Lactobacillus_iners_7,24,3,15
6,0.3834599655729295,UBA629_sp005465875_1,24,3,16
24,0.35553744845093355,UBA629_sp005465875_3,24,3,17
21,0.3796407402391252,UBA629_sp005465875_4,24,3,18
18,0.4658780758653562,Gardnerella_vaginalis_2,24,3,19
15,0.2719429812326088,Gardnerella_swidsinkii_1,24,3,20
16,0.26427529721869136,Gardnerella_swidsinkii_2,24,3,21
4,0.26902091647720633,Gardnerella_piotii_1,24,3,22
25,0.42457641331631196,Lactobacillus_paragasseri,24,3,23
2,0.44419793374884337,Bifidobacterium_breve_2,24,3,24
1,0.20486345389216482,MultiGenera,24,3,25
5,0.28595346517391507,MultiGenera,24,3,26
10,0.8405851111556855,Lactobacillus_crispatus_1,24,4,1
11,0.8117584386405232,Lactobacillus_crispatus_2,24,4,2
7,0.8643502635506987,Lactobacillus_crispatus_3,24,4,3
25,0.832163497025845,Lactobacillus_crispatus_4,24,4,4
30,0.8019165833754756,Lactobacillus_crispatus_5,24,4,5
20,0.8724524352608115,Lactobacillus_crispatus_6,24,4,6
29,0.7851632977693439,Lactobacillus_crispatus_7,24,4,7
23,0.8615226336749823,Lactobacillus_crispatus_8,24,4,8
4,0.5701367268045346,Lactobacillus_gasseri_2,24,4,9
16,0.6475698222098262,Lactobacillus_iners_1,24,4,10
28,0.3399071646441528,Lactobacillus_iners_1,24,4,11
8,0.7925033064856516,Lactobacillus_iners_2,24,4,12
15,0.4160064858224053,Lactobacillus_iners_2,24,4,13
5,0.6437070109366928,Lactobacillus_iners_4,24,4,14
13,0.732481416653051,Lactobacillus_iners_5,24,4,15
33,0.2740571312776832,Lactobacillus_iners_5,24,4,16
9,0.6937091744137587,Lactobacillus_iners_6,24,4,17
36,0.7592623851065965,Lactobacillus_iners_7,24,4,18
2,0.3834599655729295,UBA629_sp005465875_1,24,4,19
34,0.35553744845093355,UBA629_sp005465875_3,24,4,20
27,0.3796407402391252,UBA629_sp005465875_4,24,4,21
26,0.3457997240332236,Gardnerella_vaginalis_1,24,4,22
21,0.4658780758653562,Gardnerella_vaginalis_2,24,4,23
31,0.2637154659820307,Gardnerella_vaginalis_C_1,24,4,24
32,0.1968216844516225,Gardnerella_vaginalis_H_1,24,4,25
14,0.2719429812326088,Gardnerella_swidsinkii_1,24,4,26
18,0.26427529721869136,Gardnerella_swidsinkii_2,24,4,27
12,0.3115215944018197,Gardnerella_piotii_1,24,4,28
35,0.42457641331631196,Lactobacillus_paragasseri,24,4,29
1,0.5066357357424061,Bifidobacterium_breve_2,24,4,30
3,0.20898779101009024,MultiGenera,24,4,31
6,0.18625867858632952,MultiGenera,24,4,32
17,0.21066177664042382,MultiGenera,24,4,33
19,0.2491922146912305,MultiGenera,24,4,34
24,0.20253023835815648,MultiGenera,24,4,35
