,mgCST
MG_30_05445_02,mgCST 9
MG_30_05449_04,mgCST 15
MG_30_05454_03,mgCST 9
MG_30_05455_04,mgCST 15
MG_30_05459_03,mgCST 21
MG_30_05474_05,mgCST 1
MG_30_05476_05,mgCST 1
MG_30_05477_04,mgCST 9
MG_30_05483_03,mgCST 10
MG_30_05486_03,mgCST 10
MG_30_05494_05,mgCST 20
MG_30_05509_02,mgCST 1
MG_30_05781_02,mgCST 1
MG_30_05792_02,mgCST 1
MG_30_05825_04,mgCST 9
MG_30_05842_03,mgCST 18
MG_30_05851_04B,mgCST 19
MG_30_05865_03,mgCST 1
MG_30_05890_04,mgCST 18
MG_30_05911_05,mgCST 19
MG_30_05932_02,mgCST 10
MG_30_05945_02,mgCST 18
MG_30_06667_05,mgCST 15
MG_30_06676_04,mgCST 13
MG_30_06699_04,mgCST 16
MG_30_06700_02,mgCST 15
MG_30_06948_04,mgCST 1
MG_30_06956_04,mgCST 11
MG_30_06963_02,mgCST 22
MG_30_06978_03,mgCST 11
MG_30_06987_03,mgCST 20
MG_30_07066_02,mgCST 16
MG_30_07086_05,mgCST 1
MG_30_07096_05,mgCST 9
MG_30_07097_02,mgCST 20
MG_30_07639_02,mgCST 20
MG_30_07641_02B,mgCST 19
MG_30_07648_05,mgCST 9
MG_30_07655_02,mgCST 1
MG_30_07669_03,mgCST 9
MG_30_07683_04,mgCST 9
MG_30_07724_04,mgCST 16
MG_30_07728_03,mgCST 10
MG_30_08151_03,mgCST 20
MG_30_08160_04,mgCST 1
MG_30_08171_02,mgCST 19
MG_30_08185_03,mgCST 15
MG_30_08187_02,mgCST 1
MG_30_08193_05,mgCST 16
MG_30_08200_03,mgCST 1
MG_30_08209_03,mgCST 2
MG_30_08210_04,mgCST 20
MG_30_08211_02,mgCST 10
MG_30_08220_03,mgCST 17
MG_30_08479_03,mgCST 10
MG_30_08480_05,mgCST 4
MG_30_08485_04,mgCST 10
MG_30_08488_04,mgCST 17
MG_30_08501_03,mgCST 16
MG_30_08532_02,mgCST 9
MG_30_08582_02,mgCST 9
MG_30_08604_03,mgCST 9
MG_30_08623_03,mgCST 18
MG_30_08639_05,mgCST 10
MG_30_08640_05,mgCST 9
MG_30_08662_03,mgCST 19
MG_30_09057_03,mgCST 1
MG_30_09062_03,mgCST 18
MG_30_09070_03,mgCST 1
MG_30_09071_04,mgCST 20
MG_30_09077_04,mgCST 18
MG_30_09089_04,mgCST 15
MG_30_09094_03,mgCST 9
MG_30_09099_05,mgCST 16
MG_30_09101_05,mgCST 1
MG_30_09107_05,mgCST 4
MG_30_09121_03,mgCST 18
MG_30_10078_03,mgCST 1
MG_30_10088_03,mgCST 17
MG_30_10109_02,mgCST 9
MG_30_10160_02,mgCST 9
MG_30_10165_02,mgCST 1
MG_30_10174_04,mgCST 10
MG_30_10191_03,mgCST 11
MG_30_10193_03B,mgCST 9
MG_30_10240_05,mgCST 9
MG_30_10245_05,mgCST 17
MG_30_10302_05,mgCST 15
MG_30_10305_02,mgCST 26
MG_30_10317_05,mgCST 18
MG_30_10318_02B,mgCST 9
MG_30_10537_02,mgCST 1
MG_30_10546_04,mgCST 26
MG_30_10561_03,mgCST 19
MG_30_10563_03,mgCST 16
MG_30_10566_05,mgCST 1
MG_30_10572_05,mgCST 10
MG_30_10597_05,mgCST 18
MG_30_10617_05,mgCST 9
MG_30_10621_05,mgCST 4
MG_30_10660_05,mgCST 26
MG_30_10693_02,mgCST 10
MG_30_10697_04,mgCST 11
MG_30_10710_04,mgCST 9
MG_30_11411_04,mgCST 10
MG_30_11432_03,mgCST 9
MG_30_11452_03,mgCST 10
MG_30_11459_03,mgCST 9
MG_30_11495_03,mgCST 11
MG_30_11517_02,mgCST 1
MG_30_11552_03,mgCST 11
MG_30_12189_03,mgCST 1
MG_30_12191_03B,mgCST 18
MG_30_12227_05,mgCST 9
MG_30_12231_03,mgCST 15
MG_30_12233_05,mgCST 9
MG_30_12270_05,mgCST 9
MG_30_12554_04,mgCST 18
MG_30_12557_04,mgCST 1
MG_30_12558_03,mgCST 18
MG_30_12564_03,mgCST 20
MG_30_12578_04,mgCST 13
MG_30_12584_04,mgCST 9
MG_30_12585_04,mgCST 4
MG_30_12586_04,mgCST 18
MG_30_12587_03,mgCST 9
MG_30_12594_02,mgCST 11
MG_30_12613_02,mgCST 9
MG_30_12615_03,mgCST 11
MG_30_13172_05,mgCST 10
MG_30_13175_04,mgCST 25
MG_30_13177_03,mgCST 9
MG_30_13179_05,mgCST 10
MG_30_13196_05,mgCST 10
MG_30_13199_05,mgCST 15
MG_30_13200_03,mgCST 1
MG_30_13268_03,mgCST 16
MG_30_13272_02,mgCST 1
MG_30_13273_05,mgCST 11
MG_30_13274_05,mgCST 22
MG_30_13282_05,mgCST 10
MG_30_13283_05,mgCST 11
MG_30_13307_04,mgCST 20
MG_30_13314_02,mgCST 1
MG_30_13329_04,mgCST 9
MG_30_13348_05,mgCST 4
MG_30_13827_03,mgCST 18
MG_30_13828_03,mgCST 9
MG_30_13863_03,mgCST 16
MG_30_13866_03,mgCST 10
MG_30_13871_04,mgCST 16
MG_30_13875_03,mgCST 19
MG_30_13876_03,mgCST 16
MG_30_13879_02,mgCST 15
MG_30_13881_03,mgCST 9
MG_30_13885_05,mgCST 16
MG_30_13886_03,mgCST 9
MG_30_13890_05,mgCST 20
MG_30_13896_03,mgCST 1
MG_30_13905_03,mgCST 10
MG_30_13917_02,mgCST 20
MG_30_14391_05,mgCST 11
MG_30_14400_05,mgCST 10
MG_30_14403_04,mgCST 17
MG_30_14407_05,mgCST 20
MG_30_14415_03,mgCST 1
MG_30_14416_03,mgCST 10
MG_30_14417_05,mgCST 11
MG_30_14418_03,mgCST 16
MG_30_14429_05,mgCST 1
MG_30_14434_03,mgCST 20
MG_30_14437_05,mgCST 18
MG_30_14444_03,mgCST 1
MG_30_14450_05,mgCST 1
MG_30_14458_05,mgCST 9
MG_30_15242_02,mgCST 1
MG_30_15243_05,mgCST 6
MG_30_15250_03,mgCST 19
MG_30_15254_02,mgCST 19
MG_30_15276_03,mgCST 19
MG_30_15282_02,mgCST 9
MG_30_15300_02,mgCST 15
MG_30_15311_02,mgCST 19
MG_30_16231_04,mgCST 16
MG_30_16239_02,mgCST 3
MG_30_16241_03,mgCST 1
MG_30_16242_05,mgCST 22
MG_30_16253_04,mgCST 19
MG_30_16279_02,mgCST 11
MG_30_16308_02,mgCST 19
MG_30_16318_03,mgCST 17
MG_30_16506_03,mgCST 1
MG_30_16514_05,mgCST 1
MG_30_16529_02,mgCST 26
MG_30_16558_02,mgCST 3
MG_30_16564_05,mgCST 1
MG_30_16565_03,mgCST 15
MG_30_17792_02,mgCST 1
MG_30_17796_04,mgCST 9
MG_30_17806_05,mgCST 9
MG_30_17819_04,mgCST 18
MG_339011,mgCST 15
MG_339043,mgCST 20
MG_339075,mgCST 11
MG_339107,mgCST 10
MG_339139,mgCST 15
MG_339171,mgCST 20
MG_339203,mgCST 11
MG_339235,mgCST 18
MG_339267,mgCST 10
MG_339299,mgCST 1
MG_339331,mgCST 15
MG_339363,mgCST 11
MG_339395,mgCST 18
MG_339427,mgCST 18
MG_339459,mgCST 21
MG_339491,mgCST 11
MG_339523,mgCST 11
MG_339555,mgCST 20
MG_339587,mgCST 19
MG_339619,mgCST 16
MG_339651,mgCST 18
MG_339683,mgCST 19
MG_339715,mgCST 2
MG_339747,mgCST 15
MG_339779,mgCST 20
MG_339811,mgCST 20
MG_339843,mgCST 17
MG_339875,mgCST 16
MG_339907,mgCST 24
MG_339939,mgCST 16
MG_339971,mgCST 20
MG_340003,mgCST 21
MG_340035,mgCST 15
MG_340067,mgCST 15
MG_340099,mgCST 18
MG_340131,mgCST 9
MG_340163,mgCST 20
MG_340195,mgCST 11
MG_340227,mgCST 20
MG_340259,mgCST 20
MG_340291,mgCST 9
MG_340323,mgCST 19
MG_340355,mgCST 16
MG_340387,mgCST 5
MG_340419,mgCST 14
MG_340483,mgCST 15
MG_340515,mgCST 19
MG_340547,mgCST 15
MG_340579,mgCST 17
MG_340595,mgCST 20
MG_340612,mgCST 26
MG_340629,mgCST 20
MG_340646,mgCST 21
MG_340663,mgCST 26
MG_340680,mgCST 22
MG_340697,mgCST 20
MG_340714,mgCST 26
MG_340731,mgCST 22
MG_340748,mgCST 22
MG_340765,mgCST 20
MG_340782,mgCST 22
MG_340799,mgCST 26
MG_340816,mgCST 15
MG_340833,mgCST 22
MG_340850,mgCST 22
MG_340867,mgCST 26
MG_340884,mgCST 22
MG_340901,mgCST 22
MG_340918,mgCST 22
MG_340935,mgCST 26
MG_340952,mgCST 26
MG_340969,mgCST 22
MG_340986,mgCST 26
MG_341003,mgCST 22
MG_341020,mgCST 22
MG_341037,mgCST 20
MG_341054,mgCST 26
MG_341071,mgCST 22
MG_341088,mgCST 20
MG_341105,mgCST 22
MG_341122,mgCST 20
MG_341139,mgCST 22
MG_341156,mgCST 22
MG_341173,mgCST 26
MG_341190,mgCST 14
MG_341207,mgCST 26
MG_341224,mgCST 11
MG_341241,mgCST 20
MG_341258,mgCST 22
MG_341275,mgCST 20
MG_341292,mgCST 26
MG_341309,mgCST 22
MG_341326,mgCST 22
MG_341343,mgCST 26
MG_341377,mgCST 22
MG_341394,mgCST 17
MG_341411,mgCST 26
MG_341428,mgCST 20
MG_4001201139,mgCST 18
MG_4001201189,mgCST 10
MG_4001201299,mgCST 26
MG_4001701169,mgCST 10
MG_4001701289,mgCST 26
MG_4003101299,mgCST 5
MG_4003101359,mgCST 5
MG_4003901219,mgCST 7
MG_4003901259,mgCST 7
MG_4003901309,mgCST 22
MG_4003901359,mgCST 25
MG_4003901409,mgCST 20
MG_4004001199,mgCST 1
MG_4004001239,mgCST 1
MG_4004001279,mgCST 1
MG_4004001329,mgCST 20
MG_4004001379,mgCST 25
MG_4004101369,mgCST 18
MG_4005501299,mgCST 9
MG_4005501399,mgCST 20
MG_4005701209,mgCST 7
MG_4005701249,mgCST 22
MG_4005701299,mgCST 7
MG_4005701349,mgCST 7
MG_4005701389,mgCST 7
MG_4006001189,mgCST 20
MG_4006001209,mgCST 20
MG_4006001239,mgCST 20
MG_4006001379,mgCST 17
MG_4006201179,mgCST 22
MG_4006201229,mgCST 26
MG_4006201279,mgCST 11
MG_4006201329,mgCST 11
MG_4006201399,mgCST 11
MG_4006301189,mgCST 11
MG_4006301229,mgCST 26
MG_4006301259,mgCST 18
MG_4006301339,mgCST 20
MG_4006701249,mgCST 9
MG_4006801179,mgCST 1
MG_4006801249,mgCST 1
MG_4006801269,mgCST 12
MG_4006801319,mgCST 1
MG_4006801359,mgCST 1
MG_4007601189,mgCST 14
MG_4007601239,mgCST 14
MG_4007601259,mgCST 14
MG_4007601279,mgCST 14
MG_4007601359,mgCST 1
MG_4007701189,mgCST 20
MG_4007701229,mgCST 18
MG_4007801189,mgCST 9
MG_4007801239,mgCST 9
MG_4007801279,mgCST 9
MG_4007801309,mgCST 9
MG_4007801349,mgCST 9
MG_4008001179,mgCST 22
MG_4008001269,mgCST 20
MG_4008001369,mgCST 10
MG_4008201229,mgCST 16
MG_4008201299,mgCST 16
MG_4008201359,mgCST 9
MG_4008201389,mgCST 10
MG_4008301179,mgCST 10
MG_4008301189,mgCST 5
MG_4008301219,mgCST 9
MG_4008301269,mgCST 3
MG_4008301279,mgCST 3
MG_4008501209,mgCST 18
MG_4008501249,mgCST 18
MG_4008501299,mgCST 20
MG_4008501339,mgCST 18
MG_4008501389,mgCST 1
MG_4008701169,mgCST 18
MG_4008701229,mgCST 11
MG_4008701279,mgCST 3
MG_4008701329,mgCST 1
MG_4008701379,mgCST 1
MG_4008801239,mgCST 1
MG_4008801259,mgCST 1
MG_4008801269,mgCST 26
MG_4008801279,mgCST 20
MG_4008801299,mgCST 22
MG_4008901169,mgCST 20
MG_4008901219,mgCST 20
MG_4008901269,mgCST 10
MG_4009001179,mgCST 19
MG_4009001219,mgCST 9
MG_4009001259,mgCST 19
MG_4009901279,mgCST 13
MG_4009901309,mgCST 13
MG_4009901339,mgCST 13
MG_4009901359,mgCST 13
MG_4010001169,mgCST 1
MG_4010001229,mgCST 1
MG_4010001279,mgCST 1
MG_4010001319,mgCST 1
MG_4010001379,mgCST 20
MG_4010101169,mgCST 3
MG_4010101219,mgCST 3
MG_4010101259,mgCST 3
MG_4010101289,mgCST 3
MG_4010101319,mgCST 3
MG_433788,mgCST 20
MG_433819,mgCST 9
MG_433850,mgCST 1
MG_433881,mgCST 20
MG_433912,mgCST 21
MG_433943,mgCST 1
MG_433974,mgCST 26
MG_434005,mgCST 20
MG_434036,mgCST 1
MG_434067,mgCST 10
MG_434098,mgCST 22
MG_434160,mgCST 22
MG_434191,mgCST 1
MG_434222,mgCST 18
MG_434253,mgCST 19
MG_434284,mgCST 11
MG_434315,mgCST 20
MG_434346,mgCST 6
MG_434377,mgCST 11
MG_434470,mgCST 20
MG_434501,mgCST 10
MG_434532,mgCST 22
MG_434563,mgCST 20
MG_434625,mgCST 15
MG_434656,mgCST 18
MG_435323,mgCST 22
MG_435357,mgCST 22
MG_435374,mgCST 17
MG_435391,mgCST 26
MG_435408,mgCST 26
MG_435425,mgCST 26
MG_435442,mgCST 21
MG_435459,mgCST 20
MG_435476,mgCST 22
MG_435493,mgCST 20
MG_435510,mgCST 26
MG_435561,mgCST 22
MG_435578,mgCST 20
MG_435595,mgCST 22
MG_435612,mgCST 20
MG_435629,mgCST 17
MG_435646,mgCST 20
MG_435663,mgCST 26
MG_435680,mgCST 20
MG_4905201199,mgCST 26
MG_4905201399,mgCST 18
MG_4907301169,mgCST 13
MG_4907301219,mgCST 13
MG_4907301259,mgCST 22
MG_4907301309,mgCST 13
MG_4907301369,mgCST 13
MG_FB04014209,mgCST 26
MG_UAB002_W10D4_181150,mgCST 4
MG_UAB002_W8D4_181086,mgCST 4
MG_UAB002_W9D7_181134,mgCST 4
MG_UAB0135_W1D1_228762,mgCST 26
MG_UAB0135_W1D3_228770,mgCST 26
MG_UAB0135_W1D6_228782,mgCST 26
MG_UAB0135_W2D2_228798,mgCST 26
MG_UAB0135_W2D4_228806,mgCST 26
MG_UAB0135_W2D6_228814,mgCST 26
MG_UAB053_W1D2_195635,mgCST 18
MG_UAB053_W1D6_195652,mgCST 18
MG_UAB053_W3D6_195716,mgCST 18
MG_UAB053_W3D7_195724,mgCST 18
MG_UAB061_W2D3_199362,mgCST 18
MG_UAB061_W2D6_199375,mgCST 18
MG_UAB061_W3D1_199387,mgCST 18
MG_UAB061_W3D4_199398,mgCST 18
MG_UAB061_W3D6_199406,mgCST 18
MG_UAB065_W2D5_200718,mgCST 9
MG_UAB065_W3D3_200743,mgCST 15
MG_UAB065_W3D5_200750,mgCST 10
MG_UAB065_W3D7_200763,mgCST 15
MG_UAB065_W4D2_200770,mgCST 9
NMH1,mgCST 9
NMH10,mgCST 23
NMH11,mgCST 26
NMH12,mgCST 7
NMH13,mgCST 1
NMH14,mgCST 23
NMH15,mgCST 12
NMH16,mgCST 22
NMH17,mgCST 1
NMH18,mgCST 9
NMH19,mgCST 9
NMH2,mgCST 12
NMH20,mgCST 23
NMH22,mgCST 4
NMH23,mgCST 9
NMH24,mgCST 1
NMH27,mgCST 4
NMH28,mgCST 22
NMH29,mgCST 1
NMH30,mgCST 12
NMH31,mgCST 3
NMH32,mgCST 9
NMH33,mgCST 17
NMH34,mgCST 9
NMH35,mgCST 22
NMH36,mgCST 10
NMH37,mgCST 12
NMH38,mgCST 9
NMH39,mgCST 7
NMH4,mgCST 1
NMH41,mgCST 23
NMH42,mgCST 1
NMH43,mgCST 1
NMH44,mgCST 9
NMH45,mgCST 9
NMH47,mgCST 17
NMH48,mgCST 25
NMH49,mgCST 7
NMH5,mgCST 10
NMH50,mgCST 9
NMH51,mgCST 22
NMH52,mgCST 12
NMH53,mgCST 4
NMH55,mgCST 22
NMH56,mgCST 23
NMH57,mgCST 1
NMH58,mgCST 1
NMH59,mgCST 7
NMH6,mgCST 7
NMH60,mgCST 1
NMH61,mgCST 8
NMH62,mgCST 1
NMH63,mgCST 17
NMH64,mgCST 20
NMH65,mgCST 9
NMH66,mgCST 9
NMH67,mgCST 10
NMH68,mgCST 25
NMH69,mgCST 22
NMH7,mgCST 14
NMH70,mgCST 3
NMH71,mgCST 13
NMH72,mgCST 9
NMH73,mgCST 12
NMH74,mgCST 1
NMH75,mgCST 11
NMH76,mgCST 25
NMH77,mgCST 9
NMH78,mgCST 9
NMH79,mgCST 10
NMH8,mgCST 4
NMH80,mgCST 1
NMH81,mgCST 3
NMH82,mgCST 1
NMH83,mgCST 25
NMH84,mgCST 9
NMH85,mgCST 1
NMH86,mgCST 7
NMH87,mgCST 12
NMH9,mgCST 1
PB003,mgCST 25
PB004,mgCST 1
PB005,mgCST 3
PB007,mgCST 1
PB009,mgCST 23
PB011,mgCST 1
PB013,mgCST 7
PB014,mgCST 9
PB025,mgCST 1
SRR10258541,mgCST 1
SRR10258542,mgCST 9
SRR10258543,mgCST 21
SRR10258544,mgCST 2
SRR10258545,mgCST 26
SRR10258546,mgCST 20
SRR10258547,mgCST 17
SRR10258548,mgCST 3
SRR10258549,mgCST 1
SRR10258550,mgCST 1
SRR10258551,mgCST 1
SRR10258552,mgCST 18
SRR10258553,mgCST 26
SRR10258554,mgCST 11
SRR10258555,mgCST 20
SRR10258556,mgCST 2
SRR10258557,mgCST 3
SRR10258558,mgCST 3
SRR10258559,mgCST 10
SRR10258560,mgCST 26
SRR10258561,mgCST 9
SRR10258562,mgCST 3
SRR10258563,mgCST 1
SRR10258564,mgCST 1
SRR10258565,mgCST 3
SRR10258566,mgCST 9
SRR10258567,mgCST 3
SRR10258568,mgCST 1
SRR10258569,mgCST 4
SRR10258570,mgCST 1
SRR10258571,mgCST 3
SRR10258572,mgCST 9
SRR10258573,mgCST 10
SRR10258574,mgCST 10
SRR10258575,mgCST 17
SRR11749262,mgCST 26
SRR11749263,mgCST 5
SRR11749264,mgCST 3
SRR11749265,mgCST 10
SRR11749266,mgCST 10
SRR11749267,mgCST 10
SRR11749268,mgCST 17
SRR11749269,mgCST 26
SRR11749270,mgCST 3
SRR11749271,mgCST 3
SRR11749272,mgCST 1
SRR11749273,mgCST 1
SRR11749274,mgCST 11
SRR11749275,mgCST 20
SRR11749276,mgCST 1
SRR11749277,mgCST 20
SRR11749278,mgCST 10
SRR11749279,mgCST 20
SRR11749280,mgCST 20
SRR11749281,mgCST 26
SRR11749282,mgCST 20
SRR11749283,mgCST 3
SRR11749284,mgCST 3
SRR11749285,mgCST 20
SRR11749286,mgCST 1
SRR11749287,mgCST 3
SRR11749288,mgCST 1
SRR11749289,mgCST 22
SRR11749290,mgCST 5
SRR11749291,mgCST 3
SRR11749292,mgCST 11
SRR18765383,mgCST 26
SRR18765384,mgCST 10
SRR18765386,mgCST 17
SRR18765387,mgCST 10
SRR18765389,mgCST 26
SRR18765391,mgCST 26
SRR18765392,mgCST 26
SRR18765393,mgCST 17
SRR18765395,mgCST 17
SRR18765396,mgCST 26
SRR18765398,mgCST 15
SRR18765399,mgCST 20
SRR18765400,mgCST 10
SRR18765402,mgCST 26
SRR18765403,mgCST 15
SRR18765405,mgCST 15
SRR18765406,mgCST 18
SRR18765408,mgCST 18
SRR18765409,mgCST 11
SRR18765412,mgCST 2
Length,mgCST 22
X323756_MG,mgCST 20
X323758_MG,mgCST 10
X323760_MG,mgCST 18
X323761_MG,mgCST 18
X323763_MG,mgCST 18
X323766_MG,mgCST 17
X323767_MG,mgCST 18
X323769_MG,mgCST 10
X323770_MG,mgCST 11
X323774_MG,mgCST 26
X323775_MG,mgCST 26
X323784_MG,mgCST 18
X323789_MG,mgCST 16
X323790_MG,mgCST 11
X323795_MG,mgCST 15
X323806_MG,mgCST 21
X323810_MG,mgCST 20
X323816_MG,mgCST 18
X323819_MG,mgCST 19
X323824_MG,mgCST 18
X323829_MG,mgCST 26
X323840_MG,mgCST 10
X323853_MG,mgCST 17
X323854_MG,mgCST 15
X323858_MG,mgCST 1
X323864_MG,mgCST 18
X323877_MG,mgCST 15
X323881_MG,mgCST 18
X323886_MG,mgCST 15
X323888_MG,mgCST 20
X323890_MG,mgCST 15
X323892_MG,mgCST 15
X323894_MG,mgCST 18
X323897_MG,mgCST 15
X323898_MG,mgCST 26
X323900_MG,mgCST 25
X342278_MG,mgCST 20
X342290_MG,mgCST 18
X342295_MG,mgCST 9
X342300_MG,mgCST 18
X342310_MG,mgCST 18
X342315_MG,mgCST 15
X342317_MG,mgCST 10
X342324_MG,mgCST 3
X342326_MG,mgCST 20
X342328_MG,mgCST 15
X342330_MG,mgCST 18
X342334_MG,mgCST 20
X342343_MG,mgCST 16
X342345_MG,mgCST 16
X342355_MG,mgCST 18
X342368_MG,mgCST 26
X342381_MG,mgCST 9
X342395_MG,mgCST 15
X342396_MG,mgCST 18
X342404_MG,mgCST 26
X342416_MG,mgCST 18
X342424_MG,mgCST 11
X342427_MG,mgCST 9
X342429_MG,mgCST 16
X342434_MG,mgCST 26
X342438_MG,mgCST 15
X342450_MG,mgCST 26
X342464_MG,mgCST 9
X342466_MG,mgCST 19
X342474_MG,mgCST 15
X342482_MG,mgCST 11
X342487_MG,mgCST 10
X342489_MG,mgCST 18
X342495_MG,mgCST 16
X342496_MG,mgCST 16
X342498_MG,mgCST 26
X342501_MG,mgCST 19
X342502_MG,mgCST 16
X342504_MG,mgCST 10
X342514_MG,mgCST 9
X342521_MG,mgCST 15
X342526_MG,mgCST 18
X342533_MG,mgCST 18
X342536_MG,mgCST 26
X342546_MG,mgCST 20
X342548_MG,mgCST 16
X342551_MG,mgCST 18
X342560_MG,mgCST 18
X342561_MG,mgCST 26
X342564_MG,mgCST 18
X342567_MG,mgCST 10
X342571_MG,mgCST 18
X342587_MG,mgCST 15
X342592_MG,mgCST 15
X342594_MG,mgCST 16
X342600_MG,mgCST 20
X342602_MG,mgCST 11
X342609_MG,mgCST 26
X342610_MG,mgCST 16
X342621_MG,mgCST 18
X342627_MG,mgCST 15
X342636_MG,mgCST 16
X342642_MG,mgCST 17
X342646_MG,mgCST 18
X342647_MG,mgCST 20
X342652_MG,mgCST 15
X342655_MG,mgCST 20
X342660_MG,mgCST 11
X342666_MG,mgCST 18
X342668_MG,mgCST 18
X342671_MG,mgCST 11
X342674_MG,mgCST 18
X342689_MG,mgCST 11
X342693_MG,mgCST 20
X342697_MG,mgCST 20
X342717_MG,mgCST 15
X342718_MG,mgCST 15
X342722_MG,mgCST 15
X342751_MG,mgCST 18
X342752_MG,mgCST 16
X342756_MG,mgCST 11
X342762_MG,mgCST 16
X342764_MG,mgCST 11
X342767_MG,mgCST 15
X342769_MG,mgCST 19
X342774_MG,mgCST 11
X342790_MG,mgCST 16
X342794_MG,mgCST 15
X342800_MG,mgCST 20
X342802_MG,mgCST 10
X342807_MG,mgCST 9
X342813_MG,mgCST 9
X342815_MG,mgCST 11
X342820_MG,mgCST 26
X342821_MG,mgCST 18
X342826_MG,mgCST 16
X342834_MG,mgCST 20
X342840_MG,mgCST 20
X342843_MG,mgCST 18
X342844_MG,mgCST 16
X342848_MG,mgCST 20
X342858_MG,mgCST 17
X342860_MG,mgCST 18
X342864_MG,mgCST 10
X342868_MG,mgCST 15
X342872_MG,mgCST 20
X342873_MG,mgCST 20
X342875_MG,mgCST 16
X342884_MG,mgCST 15
X342886_MG,mgCST 26
X342891_MG,mgCST 10
X342896_MG,mgCST 26
X342898_MG,mgCST 18
X342902_MG,mgCST 16
X342906_MG,mgCST 10
X342909_MG,mgCST 10
X342913_MG,mgCST 15
X342919_MG,mgCST 10
X342922_MG,mgCST 26
X342925_MG,mgCST 19
X342930_MG,mgCST 17
X342931_MG,mgCST 9
X342933_MG,mgCST 20
X342934_MG,mgCST 26
X342942_MG,mgCST 18
X342943_MG,mgCST 18
X342947_MG,mgCST 10
X342948_MG,mgCST 20
X342955_MG,mgCST 20
X342958_MG,mgCST 15
X342964_MG,mgCST 15
X342982_MG,mgCST 10
X342987_MG,mgCST 26
X343002_MG,mgCST 20
X343003_MG,mgCST 15
X343007_MG,mgCST 26
X343018_MG,mgCST 26
X343019_MG,mgCST 10
X343021_MG,mgCST 15
X343024_MG,mgCST 15
X343028_MG,mgCST 16
X343033_MG,mgCST 26
X343034_MG,mgCST 17
X343038_MG,mgCST 18
X343042_MG,mgCST 9
X343043_MG,mgCST 3
X343057_MG,mgCST 15
X343058_MG,mgCST 10
X343060_MG,mgCST 16
X343068_MG,mgCST 10
X343071_MG,mgCST 20
X343076_MG,mgCST 18
X343081_MG,mgCST 26
X343083_MG,mgCST 18
X343086_MG,mgCST 26
X343089_MG,mgCST 18
X343094_MG,mgCST 11
X343109_MG,mgCST 20
X343111_MG,mgCST 10
X343117_MG,mgCST 20
X343124_MG,mgCST 15
X343128_MG,mgCST 15
X343129_MG,mgCST 15
X343131_MG,mgCST 20
X343145_MG,mgCST 26
X343147_MG,mgCST 16
X343150_MG,mgCST 18
X343153_MG,mgCST 10
X343156_MG,mgCST 15
X343163_MG,mgCST 18
X343167_MG,mgCST 18
X343177_MG,mgCST 20
X343180_MG,mgCST 18
X343183_MG,mgCST 15
X343188_MG,mgCST 26
X343193_MG,mgCST 21
X343198_MG,mgCST 18
X343200_MG,mgCST 10
X343205_MG,mgCST 15
X343209_MG,mgCST 3
X343218_MG,mgCST 18
X343223_MG,mgCST 18
X343225_MG,mgCST 15
X343233_MG,mgCST 3
X343234_MG,mgCST 10
X343238_MG,mgCST 18
X343255_MG,mgCST 20
X343256_MG,mgCST 15
X343261_MG,mgCST 26
X343266_MG,mgCST 18
X343269_MG,mgCST 20
X343275_MG,mgCST 11
X343276_MG,mgCST 18
X343281_MG,mgCST 20
X343286_MG,mgCST 18
X343287_MG,mgCST 20
X343306_MG,mgCST 9
X343309_MG,mgCST 10
X343311_MG,mgCST 16
X343314_MG,mgCST 10
X343319_MG,mgCST 18
X343322_MG,mgCST 18
X343324_MG,mgCST 18
X343335_MG,mgCST 20
X343337_MG,mgCST 11
X343347_MG,mgCST 18
X343349_MG,mgCST 20
X343356_MG,mgCST 26
X343360_MG,mgCST 26
X343363_MG,mgCST 9
X343368_MG,mgCST 15
X343370_MG,mgCST 15
X343377_MG,mgCST 20
X343378_MG,mgCST 19
X343393_MG,mgCST 15
X343402_MG,mgCST 11
X343422_MG,mgCST 20
X343424_MG,mgCST 9
X343435_MG,mgCST 18
X343442_MG,mgCST 15
X343449_MG,mgCST 15
X343454_MG,mgCST 15
X343457_MG,mgCST 10
X343464_MG,mgCST 15
X343471_MG,mgCST 3
X343477_MG,mgCST 10
X343479_MG,mgCST 16
X343483_MG,mgCST 15
X343489_MG,mgCST 21
X343494_MG,mgCST 20
X343498_MG,mgCST 16
X343504_MG,mgCST 10
X343506_MG,mgCST 26
X343509_MG,mgCST 10
X343517_MG,mgCST 20
X343522_MG,mgCST 21
X343524_MG,mgCST 19
X343543_MG,mgCST 20
X343547_MG,mgCST 10
X343557_MG,mgCST 11
X343560_MG,mgCST 9
X343576_MG,mgCST 26
X343578_MG,mgCST 10
X343583_MG,mgCST 20
X343586_MG,mgCST 20
X343588_MG,mgCST 18
X343593_MG,mgCST 15
X343598_MG,mgCST 18
X343599_MG,mgCST 19
X343603_MG,mgCST 26
X343612_MG,mgCST 17
X343616_MG,mgCST 20
X343619_MG,mgCST 15
X343633_MG,mgCST 15
X343636_MG,mgCST 16
X343638_MG,mgCST 22
X343640_MG,mgCST 20
X343643_MG,mgCST 26
X343647_MG,mgCST 19
X343648_MG,mgCST 18
X343664_MG,mgCST 10
X343666_MG,mgCST 16
X343676_MG,mgCST 15
X343681_MG,mgCST 11
X343688_MG,mgCST 26
X343699_MG,mgCST 20
X343704_MG,mgCST 10
